region,date,p50_pcwd,p25_pcwd,p75_pcwd,.group
Bern,2021-06-17,0,0,3.3807082487897517,1
Bern,2021-06-18,0,0,4.587781944518538,1
Bern,2021-06-19,0,0,8.908623126338437,1
Bern,2021-06-20,0,0,0,1
Bern,2021-06-21,0,0,0,1
Bern,2021-06-22,0,0,0,1
Bern,2021-06-23,0,0,0,1
Bern,2021-06-24,0,0,0,1
Bern,2021-06-25,0,0,0.8807493217010975,1
Bern,2021-06-26,0,0,3.6001954186936587,1
Bern,2021-06-27,0,0,5.201363267075197,1
Bern,2021-06-28,0,0,0,1
Bern,2021-06-29,0,0,0,1
Bern,2021-06-30,0,0,0,1
Bern,2021-07-01,0,0,0,1
Bern,2021-07-02,0,0,3.552878791956549,1
Bern,2021-07-03,0,0,5.326866636291978,1
Bern,2021-07-04,0,0,0,1
Bern,2021-07-05,0,0,2.6354960383486308,1
Bern,2021-07-06,0,0,0,1
Bern,2021-07-07,0,0,0,1
Bern,2021-07-08,0,0,0,1
Bern,2021-07-09,0,0,2.4337802805106814,1
Bern,2021-07-10,0,0,0,1
Bern,2021-07-11,0,0,1.8703642449223024,1
Bern,2021-07-12,0,0,0,1
Bern,2021-07-13,0,0,0,1
Bern,2021-07-14,0,0,0,1
Bern,2021-07-15,0,0,0,1
Bern,2021-07-16,0,0,0,1
Bern,2021-07-17,0.6703096913580118,0,1.5299767941831641,1
Bern,2021-07-18,4.721970888918788,0,6.074689073726049,1
Bern,2021-07-19,10.245573998970016,0,10.984460657280966,1
Bern,2021-07-20,15.590977617122853,0,15.946621797366497,1
Bern,2021-07-21,20.559893336850834,0,21.263182039162977,1
Bern,2021-07-22,24.937669018643156,0,25.903580724755443,1
Bern,2021-07-23,30.433518888877423,0,31.626724514720458,1
Bern,2021-07-24,0,0,0,1
Bern,2021-07-25,0,0,0,1
Bern,2021-07-26,0,0,0,1
Bern,2021-07-27,0,0,0,1
Bern,2021-07-28,0,0,0,1
Bern,2021-07-29,4.1328622892803555,0,4.445722540271658,1
Bern,2021-07-30,0,0,0,1
Bern,2021-07-31,0,0,0,1
Bern,2021-08-01,0,0,0,1
Bern,2021-08-02,0,0,0.41522998606421657,1
Bern,2021-08-03,0,0,0,1
Bern,2021-08-04,0,0,0,1
Bern,2021-08-05,0,0,0.22110892718034625,1
Bern,2021-08-06,3.2415038174527124,0,3.8021254815444925,1
Bern,2021-08-07,0,0,0,1
Bern,2021-08-08,0.9374289384286838,0.21124997221730224,1.4122162423359732,1
Bern,2021-08-09,4.904377646603991,0,5.254659687876678,1
Bern,2021-08-10,9.284192428174109,0,9.815935652746532,1
Bern,2021-08-11,13.750904288532602,1.0579670894036985,14.259103330638261,1
Bern,2021-08-12,17.66807198892269,2.447611276429819,18.205755748766325,1
Bern,2021-08-13,5.170410634178883,0,12.717990196665312,1
Bern,2021-08-14,9.832363501226167,4.079100810481982,17.34171906432322,1
Bern,2021-08-15,3.0749687953601055,0,15.3030026657552,1
Bern,2021-08-16,0,0,0,1
Bern,2021-08-17,1.0694907456172154,0.3037790435390474,1.5408922763875366,1
Bern,2021-08-18,3.361124994017467,2.5459259008588546,3.645291540569483,1
Bern,2021-08-19,6.288232700758604,5.570955024106935,6.42969156574866,1
Bern,2021-08-20,9.740399714060501,8.690186745389187,10.119970703526104,1
Bern,2021-08-21,13.997275649301727,13.235374313839468,14.434875295670096,1
Bern,2021-08-22,0,0,0,1
Bern,2021-08-23,2.4248451689573445,1.9855357149057036,2.730035896394485,1
Bern,2021-08-24,4.287809983032334,0.5681309141641424,5.652487217046426,1
Bern,2021-08-25,6.654227847329703,2.88910899786353,8.219831602615733,1
Bern,2021-08-26,7.8583341185292035,5.3211161000765745,9.446953314100828,1
Bern,2021-08-27,9.635928094718246,6.557600736618082,11.85277695883643,1
Bern,2021-08-28,9.297131685291232,8.830461289400587,12.75057579663529,1
Bern,2021-08-29,10.736159423839045,9.851885665141612,13.005284709775818,1
Bern,2021-08-30,12.93218601152607,11.42230283584313,14.576734527107085,1
Bern,2021-08-31,15.053673619323778,13.587846855200903,16.208396085997403,1
Bern,2021-09-01,18.27674421497207,17.14579290479002,19.647902752756668,1
Bern,2021-09-02,21.206975961675752,20.54816950637621,23.23364704405654,1
Bern,2021-09-03,21.794520419708956,19.954867178820614,26.387062887563328,1
Bern,2021-09-04,23.63182598034059,21.45548208353509,29.295641376425408,1
Bern,2021-09-05,26.983274999535,24.554335487696203,32.743461274770105,1
Bern,2021-09-06,29.957774978123997,27.406060906205557,35.87199740002562,1
Bern,2021-09-07,32.74086553320838,29.922096115674766,38.73602762716324,1
Bern,2021-09-08,35.31240203729661,32.583812617736626,42.042603186382635,1
Bern,2021-09-09,29.43170391083115,26.769259701544836,39.7192168075572,1
Bern,2021-09-10,11.43277213689212,0,35.816460643699884,1
Bern,2021-09-11,12.1715386641171,0,36.01790342888864,1
Bern,2021-09-12,13.907697819328892,1.9739957317734294,38.36531790306997,1
Bern,2021-09-13,16.597356504852616,4.673219187256894,41.28052858713271,1
Bern,2021-09-14,17.53296660971987,5.275365944182361,42.4010679430558,1
Bern,2021-09-15,0,0,0,1
Bern,2021-09-16,0,0,0,1
Bern,2021-09-17,2.409610548139564,1.065516599166882,2.498370290606236,1
Bern,2021-09-18,4.9945755965877625,3.4610814145273556,5.20733182437945,1
Bern,2021-09-19,0,0,0,1
Bern,2021-09-20,0,0,0,1
Bern,2021-09-21,1.9418182041693224,1.785473631840249,2.155864831249098,1
Bern,2021-09-22,4.164403627226407,3.9346999462397996,4.534139788023961,1
Bern,2021-09-23,6.497223887398288,6.207234297525469,6.988587931725496,1
Bern,2021-09-24,9.004015792723013,8.639187984751471,9.622157511435692,1
